Issue_Category,Ticket_Count,Avg_Resolution_Hours,Avg_CSAT,SLA_Percentage,Escalation_Rate
"UPI Failure",535,9.47,4.24,45.05,32.90
"KYC Update",495,34.42,3.44,30.10,13.54
"Credit Card Limit",360,33.75,3.41,30.28,14.17
"Loan Query",496,33.54,3.35,31.85,11.09
"Payment Failed",600,9.78,4.19,44.50,29.83
"Password Reset",696,74.67,2.75,0.43,3.30
"Mobile App Error",413,72.42,2.79,25.18,5.33
"Internet Banking Error",473,71.5,2.74,26.22,4.86
"Refund Pending",527,33.45,3.46,33.40,12.52
"EMI Query",374,35.06,3.34,29.68,10.70
"Account Statement",410,71.9,2.76,23.90,3.90
"General Inquiry",605,70.72,2.74,51.74,3.31
"Charges Inquiry",350,33.8,3.47,32.29,12.57
"Account Freeze",213,10.17,4.25,29.11,32.39
"Insurance Claim",359,34.04,3.44,32.87,11.70
"Login Issue",732,72.39,2.74,25.00,3.42
"Fraud Complaint",203,10.22,4.17,17.73,28.57
"Card Blocked",394,9.64,4.15,19.29,33.25
"Transaction Dispute",388,10.36,4.27,39.43,34.28
"Account Closure",175,36.19,3.42,71.43,9.14
