Ticket_Year,Ticket_Month,Month_Name,Total_Tickets,Avg_CSAT,Avg_Resolution_Hours,SLA_Percentage
2025,7,2025-07,457,3.36,43.14,29.76
2025,8,2025-08,774,3.36,42.96,30.88
2025,9,2025-09,715,3.38,42.73,31.19
2025,10,2025-10,759,3.4,41.29,30.57
2025,11,2025-11,718,3.41,41.13,32.31
2025,12,2025-12,788,3.41,41.27,33.25
2026,1,2026-01,782,3.38,41.07,29.92
2026,2,2026-02,676,3.35,43.22,28.70
2026,3,2026-03,753,3.33,43.21,32.67
2026,4,2026-04,690,3.4,41.82,29.28
2026,5,2026-05,691,3.38,42.01,30.68
2026,6,2026-06,722,3.35,42.5,29.78
2026,7,2026-07,273,3.33,42.27,33.70
