Team,Total_Tickets,Closed_Tickets,Avg_Resolution_Hours,Avg_CSAT,SLA_Percentage,Escalation_Rate
"Customer Success",900,198,41.85,3.37,29.78,14.89
"Payment Support",916,200,42.79,3.35,30.57,14.41
"Premium Support",844,179,42,3.41,33.29,14.34
"Delivery Support",872,178,42.29,3.35,31.77,14.56
"Technical Support",865,177,42.43,3.37,30.29,13.06
"Returns & Refunds",909,196,41.25,3.39,33.11,12.43
"Order Management",836,185,43.19,3.35,28.23,13.28
"Product Support",860,170,42.42,3.38,31.16,14.88
"Billing Support",903,184,40.16,3.43,30.12,16.83
"Account Support",893,184,43.3,3.37,30.68,14.00
